Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,``$CAT-FUEL$``,Abbreviation Subsector,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Output,NemoMod :math:`\text{CO}_2` Emissions from Fuel Mining and Extraction,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_fuel_mining_and_extraction_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = co2``),,``me_coal``|``me_natural_gas``|``me_crude``,,,,none,none,1,1,1,1
Output,NemoMod :math:`\text{CO}_2` Emissions from Fuel Processing and Refinement,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_processing_and_refinement_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = co2``),,``fp_hydrogen_electrolysis``|``fp_hydrogen_gasification``|``fp_hydrogen_reformation``|``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,none,1,1,1,1
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Electricity Generation,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_generation_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = n2o``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,none,1,1,1,1
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Electricity Generation for CCSQ,,``emission_co2e_$EMISSION-GAS$_entc_generation_for_ccsq`` (``$EMISSION-GAS$ = n2o``),,none,,,,none,``ccsq``,1,1,1,0
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Electricity Generation for Energy Technology,,``emission_co2e_$EMISSION-GAS$_entc_generation_for_entc`` (``$EMISSION-GAS$ = n2o``),,none,,,,none,``entc``,1,1,1,0
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Electricity Generation for Export,,``emission_co2e_$EMISSION-GAS$_entc_generation_for_export`` (``$EMISSION-GAS$ = n2o``),,none,,,,none,none,1,1,1,0
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Electricity Generation for Industrial Energy,,``emission_co2e_$EMISSION-GAS$_entc_generation_for_inen`` (``$EMISSION-GAS$ = n2o``),,none,,,,none,``inen``,1,1,1,0
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Electricity Generation for SCOE,,``emission_co2e_$EMISSION-GAS$_entc_generation_for_scoe`` (``$EMISSION-GAS$ = n2o``),,none,,,,none,``scoe``,1,1,1,0
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Electricity Generation for Transportation,,``emission_co2e_$EMISSION-GAS$_entc_generation_for_trns`` (``$EMISSION-GAS$ = n2o``),,none,,,,none,``trns``,1,1,1,0
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Fuel Mining and Extraction,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_fuel_mining_and_extraction_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = n2o``),,``me_coal``|``me_natural_gas``|``me_crude``,,,,none,none,1,1,1,1
Output,NemoMod :math:`\text{N}_2\text{O}` Emissions from Fuel Processing and Refinement,Taken from NemoMod variable **vannualemissions** and reported in configuration units emissions_mass.,``emission_co2e_$EMISSION-GAS$_entc_processing_and_refinement_$CAT-TECHNOLOGY$`` (``$EMISSION-GAS$ = n2o``),,``fp_hydrogen_electrolysis``|``fp_hydrogen_gasification``|``fp_hydrogen_reformation``|``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,none,1,1,1,1
Output,NemoMod Discounted Operating Costs," | Discounted operating (fixed and variable) costs by generation technology (in configuration monetary_units).
 | 
 | NemoMod variable **vdiscountedoperatingcost**",``nemomod_entc_discounted_operating_costs_$CAT-TECHNOLOGY$``,,``fp_hydrogen_electrolysis``|``fp_hydrogen_gasification``|``fp_hydrogen_reformation``|``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,none,1,1,1,0
Output,NemoMod Generation Capacity," | Total annual generation capacity (in configuration power_units).
 | 
 | NemoMod variable **vtotalcapacityannual**",``nemomod_entc_total_annual_generation_capacity_$CAT-TECHNOLOGY$``,,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``|``st_batteries``|``st_compressed_air``|``st_flywheels``|``st_pumped_hydro``,,,,none,none,1,1,1,0
Output,NemoMod Production by Technology," | Production of electricity by generation technology (in configuration energy_units, [*not* energy_units_nemomod]).
 | 
 | NemoMod variable **vproductionbytechnologyannual**",``nemomod_entc_annual_production_by_technology_$CAT-TECHNOLOGY$``,,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``|``st_batteries``|``st_compressed_air``|``st_flywheels``|``st_pumped_hydro``,,,,none,none,1,1,1,0
